sampler,benchmark,subset,L_S_star,p_stab,lambda_min,P1,total_vHv,remainder,P1_fraction
asbs,w5,S0234,1.1900468,0.0,-17.25087547302246,0.08519334950622579,-1606.8734228610992,-1606.9586162106054,5.3018083623867826e-05
asbs,w5,S1234,1.2080353,0.0,-16.104759216308594,0.13269710524356923,279.9227833747864,279.7900862695428,0.00047404896323088766
asbs,w5,S23,2.153552,0.0,-43.10081481933594,1.0367604629526381,138.71997594833374,137.6832154853811,0.007473764725406472
as,c5,S2,0.3630913,1.0,-2.371616840362549,0.052117250309319935,-137.6025378704071,-137.65465512071643,0.00037875210091230764
as,c5,S1,0.3744705,1.0,-9.566694259643556,0.10568371527828567,79.26240563392639,79.1567219186481,0.0013333397394756452
as,c5,S0,0.4177047,1.0,-4.664210796356201,0.13745607384772737,-394.3008556962013,-394.43831177004904,0.0003486070898958406
as,c5,S013,0.5924014,0.0,-3.9054479598999023,0.04966377680975129,-592.564195394516,-592.6138591713258,8.381163964298901e-05
as,c5,S123,0.5930484,0.0,-1.1952582597732544,0.040794131889130225,96.68074548244476,96.63995135055563,0.00042194680735571497
as,c5,S014,0.5933449,0.0,-6.709588050842285,0.1319466791504965,-179.6383410692215,-179.770287748372,0.0007345129016726945
as,c5,S1234,0.5936298000000001,0.0,-1.0404212474822998,0.03512461562074604,173.96993935108185,173.9348147354611,0.00020190048781842856
as,c5,S4,51.4176998,1.0,-351.6990661621094,1.5482071134877158,10695.686340332031,10694.138133218543,0.00014475060919182111
as,c5,S3,89.9711867,1.0,-162.7524871826172,1.6447691595073672,-6623.516082763672,-6625.1608519231795,0.0002483226641190641
as,c5,S34,1570.8945250000002,0.0,-306.85711669921875,4.325335889333603,35134.44900512695,35130.12366923762,0.00012310811786752144
asbs,c5,S2,0.3970637999999999,1.0,-32.21485900878906,0.32202224052664824,287.0325744152069,286.7105521746803,0.001121901377161168
asbs,c5,S1,0.4184397000000001,1.0,-41.52306365966797,0.5557521598154446,-405.08948266506195,-405.6452348248774,0.0013719244354581702
asbs,c5,S0,0.4247514,1.0,-40.98776626586914,0.27861833507108386,-800.451934337616,-800.730552672687,0.0003480762843075758
asbs,c5,S1234,0.5420271,0.0,-28.649734497070312,0.06490859531023889,-983.2973778247833,-983.3622864200936,6.601115468630747e-05
asbs,c5,S124,0.5434543,0.0,-25.211816787719727,0.05370995302510273,-672.2872704267502,-672.3409803797753,7.9891372911168e-05
asbs,c5,S12,0.5683314,0.0,-29.859867095947266,0.06168185999082925,-288.04317116737366,-288.10485302736447,0.00021414102525265657
asbs,c5,S0123,0.5798013000000001,0.0,-14.560746192932127,0.05728970134573465,770.0057327747345,769.9484430733887,7.440165560752692e-05
asbs,c5,S34,50.0354513,0.0,-247.9976043701172,3.441116272490751,-31691.718101501465,-31695.159217773955,0.00010858093150613093
asbs,c5,S4,51.10681,1.0,-133.01773071289062,2.706117974640621,-24630.422592163086,-24633.128710137727,0.0001098689218390286
asbs,c5,S3,90.8882523,1.0,-99.26476287841795,0.9432765904990258,-22080.001831054688,-22080.945107645188,4.272085653418465e-05
as,b5,S3,0.4332166,0.6,-2.564316272735596,0.14833591564987436,485.2014034986496,485.05306758299974,0.0003057202938413525
as,b5,S12,0.4202299,0.0,-1.1416572332382202,0.15958243407709524,137.1830701828003,137.0234877487232,0.001163280817846771
as,b5,S124,0.424732,0.0,-1.1039193868637085,0.12705380302069244,267.62060821056366,267.49355440754294,0.00047475343498464494
as,b5,S1234,0.4265689999999999,0.0,-1.1047075986862185,0.1397766347251134,447.4932327866554,447.3534561519303,0.0003123547452430892
as,b5,S0123,0.4292789,0.0,-0.2658545076847076,0.009110721627133899,-347.28966653347015,-347.29877725509726,2.62337826462603e-05
as,b5,S024,0.4906343000000001,0.0,-1.3387032747268677,0.03529204606594285,320.1695531606674,320.1342611146015,0.00011022923859415696
as,b5,S4,0.6020193,0.2,-3.2071361541748047,0.351711621536006,669.3122535943985,668.9605419728625,0.0005254821193653056
as,b5,S34,0.6339005999999999,0.0,-2.0903799533843994,0.04531461219878547,207.98474550247192,207.93943089027314,0.00021787469119087445
asbs,b5,S124,0.4086901999999999,0.0,-1.1952667236328125,0.11620000659754733,426.6948997974396,426.57869979084205,0.00027232574528704824
asbs,b5,S123,0.4093128,0.0,-1.153854489326477,0.10490952447212767,303.5525232553482,303.44761373087607,0.0003456058389731891
asbs,b5,S1234,0.41073,0.0,-1.2273263931274414,0.1121230300708674,-156.53587877750397,-156.64800180757484,0.0007162768749659274
asbs,b5,S0123,0.4117242999999999,0.0,-1.5180381536483765,0.009774865356920782,177.34412103891373,177.3343461735568,5.511806819223752e-05
asbs,b5,S0234,0.4956319999999999,0.0,-2.6993141174316406,0.08514767142485362,103.56079787015915,103.4756501987343,0.0008221998398614747
asbs,b5,S3,0.5434447,0.4,-123.43988800048828,0.3864716433654015,-493.67502331733704,-494.0614949607024,0.000782846255353083
asbs,b5,S34,0.6227996000000001,0.0,-48.6488037109375,0.15868191449828156,-1119.7996139526367,-1119.958295867135,0.00014170563422339152
