sampler,benchmark,subset,eta_mult,eta_value,seed,classification
as,w5,S0,2.5,0.002688234850917,2,no_escape
as,w5,S0,2.5,0.002688234850917,3,no_escape
as,w5,S0,2.5,0.002688234850917,4,no_escape
as,w5,S0,3.0,0.0032258818211004002,0,no_escape
as,w5,S0,3.0,0.0032258818211004002,1,no_escape
as,w5,S0,3.0,0.0032258818211004002,2,no_escape
as,w5,S0,3.0,0.0032258818211004002,3,no_escape
as,w5,S0,3.0,0.0032258818211004002,4,no_escape
as,w5,S0,4.0,0.0043011757614672,0,no_escape
as,w5,S0,4.0,0.0043011757614672,1,no_escape
as,w5,S0,4.0,0.0043011757614672,2,no_escape
as,w5,S0,4.0,0.0043011757614672,3,no_escape
as,w5,S0,4.0,0.0043011757614672,4,no_escape
as,w5,S0,6.0,0.0064517636422008005,0,no_escape
as,w5,S0,6.0,0.0064517636422008005,1,no_escape
as,w5,S0,6.0,0.0064517636422008005,2,no_escape
as,w5,S0,6.0,0.0064517636422008005,3,no_escape
as,w5,S0,6.0,0.0064517636422008005,4,no_escape
as,c5,S0,0.5,0.00054546147025835,0,no_escape
as,c5,S0,0.5,0.00054546147025835,1,no_escape
as,c5,S0,0.5,0.00054546147025835,2,no_escape
as,c5,S0,0.5,0.00054546147025835,3,no_escape
as,c5,S0,0.5,0.00054546147025835,4,no_escape
as,c5,S0,1.0,0.0010909229405167,0,no_escape
as,c5,S0,1.0,0.0010909229405167,1,no_escape
as,c5,S0,1.0,0.0010909229405167,2,no_escape
as,c5,S0,1.0,0.0010909229405167,3,no_escape
as,c5,S0,1.0,0.0010909229405167,4,no_escape
as,c5,S0,1.5,0.0016363844107750499,0,no_escape
as,c5,S0,1.5,0.0016363844107750499,1,no_escape
as,c5,S0,1.5,0.0016363844107750499,2,no_escape
as,c5,S0,1.5,0.0016363844107750499,3,no_escape
as,c5,S0,1.5,0.0016363844107750499,4,no_escape
as,c5,S0,2.0,0.0021818458810334,0,no_escape
as,c5,S0,2.0,0.0021818458810334,1,no_escape
as,c5,S0,2.0,0.0021818458810334,2,no_escape
as,c5,S0,2.0,0.0021818458810334,3,no_escape
as,c5,S0,2.0,0.0021818458810334,4,no_escape
as,c5,S0,2.5,0.00272730735129175,0,no_escape
as,c5,S0,2.5,0.00272730735129175,1,no_escape
as,c5,S0,2.5,0.00272730735129175,2,no_escape
as,c5,S0,2.5,0.00272730735129175,3,no_escape
as,c5,S0,2.5,0.00272730735129175,4,no_escape
as,c5,S0,3.0,0.0032727688215500998,0,no_escape
as,c5,S0,3.0,0.0032727688215500998,1,no_escape
as,c5,S0,3.0,0.0032727688215500998,2,no_escape
as,c5,S0,3.0,0.0032727688215500998,3,no_escape
as,c5,S0,3.0,0.0032727688215500998,4,no_escape
as,c5,S0,4.0,0.0043636917620668,0,no_escape
as,c5,S0,4.0,0.0043636917620668,1,no_escape
as,c5,S0,4.0,0.0043636917620668,2,no_escape
as,c5,S0,4.0,0.0043636917620668,3,no_escape
as,c5,S0,4.0,0.0043636917620668,4,no_escape
as,c5,S0,6.0,0.0065455376431001995,0,no_escape
as,c5,S0,6.0,0.0065455376431001995,1,no_escape
as,c5,S0,6.0,0.0065455376431001995,2,no_escape
as,c5,S0,6.0,0.0065455376431001995,3,no_escape
as,c5,S0,6.0,0.0065455376431001995,4,no_escape
asbs,c5,S1,0.5,0.0005235422078424,0,no_escape
asbs,c5,S1,0.5,0.0005235422078424,1,no_escape
asbs,c5,S1,0.5,0.0005235422078424,2,no_escape
asbs,c5,S1,0.5,0.0005235422078424,3,no_escape
asbs,c5,S1,0.5,0.0005235422078424,4,no_escape
asbs,c5,S1,1.0,0.0010470844156848,0,no_escape
asbs,c5,S1,1.0,0.0010470844156848,1,no_escape
asbs,c5,S1,1.0,0.0010470844156848,2,no_escape
asbs,c5,S1,1.0,0.0010470844156848,3,no_escape
asbs,c5,S1,1.0,0.0010470844156848,4,no_escape
asbs,c5,S1,1.5,0.0015706266235271998,0,no_escape
asbs,c5,S1,1.5,0.0015706266235271998,1,no_escape
asbs,c5,S1,1.5,0.0015706266235271998,2,no_escape
asbs,c5,S1,1.5,0.0015706266235271998,3,no_escape
asbs,c5,S1,1.5,0.0015706266235271998,4,no_escape
asbs,c5,S1,2.0,0.0020941688313696,0,no_escape
asbs,c5,S1,2.0,0.0020941688313696,1,no_escape
asbs,c5,S1,2.0,0.0020941688313696,2,no_escape
asbs,c5,S1,2.0,0.0020941688313696,3,no_escape
asbs,c5,S1,2.0,0.0020941688313696,4,no_escape
asbs,c5,S1,2.5,0.002617711039212,0,no_escape
asbs,c5,S1,2.5,0.002617711039212,1,no_escape
asbs,c5,S1,2.5,0.002617711039212,2,no_escape
asbs,c5,S1,2.5,0.002617711039212,3,no_escape
asbs,c5,S1,2.5,0.002617711039212,4,no_escape
asbs,c5,S1,3.0,0.0031412532470543996,0,no_escape
asbs,c5,S1,3.0,0.0031412532470543996,1,no_escape
asbs,c5,S1,3.0,0.0031412532470543996,2,no_escape
asbs,c5,S1,3.0,0.0031412532470543996,3,no_escape
asbs,c5,S1,3.0,0.0031412532470543996,4,no_escape
asbs,c5,S1,4.0,0.0041883376627392,0,no_escape
asbs,c5,S1,4.0,0.0041883376627392,1,no_escape
asbs,c5,S1,4.0,0.0041883376627392,2,no_escape
asbs,c5,S1,4.0,0.0041883376627392,3,no_escape
asbs,c5,S1,4.0,0.0041883376627392,4,no_escape
asbs,c5,S1,6.0,0.006282506494108799,0,no_escape
asbs,c5,S1,6.0,0.006282506494108799,1,no_escape
asbs,c5,S1,6.0,0.006282506494108799,2,no_escape
asbs,c5,S1,6.0,0.006282506494108799,3,no_escape
asbs,c5,S1,6.0,0.006282506494108799,4,no_escape
asbs,c5,S0,0.5,0.00045983716420575,0,no_escape
asbs,c5,S0,0.5,0.00045983716420575,1,no_escape
asbs,c5,S0,0.5,0.00045983716420575,2,no_escape
asbs,c5,S0,0.5,0.00045983716420575,3,no_escape
asbs,c5,S0,0.5,0.00045983716420575,4,no_escape
asbs,c5,S0,1.0,0.0009196743284115,0,no_escape
asbs,c5,S0,1.0,0.0009196743284115,1,no_escape
asbs,c5,S0,1.0,0.0009196743284115,2,no_escape
asbs,c5,S0,1.0,0.0009196743284115,3,no_escape
asbs,c5,S0,1.0,0.0009196743284115,4,no_escape
asbs,c5,S0,1.5,0.00137951149261725,0,no_escape
asbs,c5,S0,1.5,0.00137951149261725,1,no_escape
asbs,c5,S0,1.5,0.00137951149261725,2,no_escape
asbs,c5,S0,1.5,0.00137951149261725,3,no_escape
asbs,c5,S0,1.5,0.00137951149261725,4,no_escape
asbs,c5,S0,2.0,0.001839348656823,0,no_escape
asbs,c5,S0,2.0,0.001839348656823,1,no_escape
asbs,c5,S0,2.0,0.001839348656823,2,no_escape
asbs,c5,S0,2.0,0.001839348656823,3,no_escape
asbs,c5,S0,2.0,0.001839348656823,4,no_escape
asbs,c5,S0,2.5,0.0022991858210287502,0,no_escape
asbs,c5,S0,2.5,0.0022991858210287502,1,no_escape
asbs,c5,S0,2.5,0.0022991858210287502,2,no_escape
asbs,c5,S0,2.5,0.0022991858210287502,3,no_escape
asbs,c5,S0,2.5,0.0022991858210287502,4,no_escape
asbs,c5,S0,3.0,0.0027590229852345,0,no_escape
asbs,c5,S0,3.0,0.0027590229852345,1,no_escape
asbs,c5,S0,3.0,0.0027590229852345,2,no_escape
asbs,c5,S0,3.0,0.0027590229852345,3,no_escape
asbs,c5,S0,3.0,0.0027590229852345,4,no_escape
asbs,c5,S0,4.0,0.003678697313646,0,no_escape
asbs,c5,S0,4.0,0.003678697313646,1,no_escape
asbs,c5,S0,4.0,0.003678697313646,2,no_escape
asbs,c5,S0,4.0,0.003678697313646,3,no_escape
asbs,c5,S0,4.0,0.003678697313646,4,no_escape
asbs,c5,S0,6.0,0.005518045970469,0,no_escape
asbs,c5,S0,6.0,0.005518045970469,1,no_escape
asbs,c5,S0,6.0,0.005518045970469,2,no_escape
