sampler,benchmark,subset,dir_idx,P1,delta_alpha_dead_norm_sq,delta_alpha_dead_max,is_revival
as,w5,S023,161,0.03647500787542958,1.000000560656282e-07,0.0003000000724568963,False
as,w5,S023,162,0.004432275434318398,1.300000705570081e-07,0.0003000000724568963,False
as,w5,S023,163,0.02365585597567474,2.0000001899904874e-08,0.00010000006295740604,False
as,w5,S023,164,0.0028095559391240386,1.6000001519918478e-07,0.0004000000189989805,False
as,w5,S023,165,0.0016469493884560507,4.10000038947911e-07,0.0005000000237487257,False
as,w5,S023,166,0.043943518507313456,5.0000039674350227e-08,0.00020000006770715117,False
as,w5,S023,167,0.011801005190974137,5.000001639128137e-08,0.00020000000949949026,False
as,w5,S023,168,0.010741888118397583,2.0000001899904874e-08,0.00010000006295740604,False
as,w5,S023,169,0.00529394907212918,5.0000016391284755e-08,0.00020000006770715117,False
as,w5,S023,170,0.049712544153700494,9.999998621643179e-08,0.0002999999560415745,False
as,w5,S023,171,0.013272816724637778,1.000000560656282e-07,0.0003000000724568963,False
as,w5,S023,172,0.021440054308193793,2.0000001899904874e-08,0.00010000006295740604,False
as,w5,S023,173,0.004851771498366816,9.999996293336632e-08,0.0002999999560415745,False
as,w5,S023,174,0.017071115044287127,6.399998745322289e-07,0.0007999999215826392,False
as,w5,S023,175,0.026327931714426087,4.00000072922561e-07,0.0006000000576023012,False
as,w5,S023,176,0.0017150140678804746,1.3000000070781167e-07,0.0002999999560415745,False
as,w5,S023,177,0.05939260792303685,1.7000002779066995e-07,0.0004000000189989805,False
as,w5,S023,178,0.03114913714301292,1.5999992206693645e-07,0.0003999999025836587,False
as,w5,S023,179,0.027802665588364108,5.0000039674350227e-08,0.00020000006770715117,False
as,w5,S023,180,0.0035521331277736864,1.3000004727393923e-07,0.0003000000724568963,False
as,w5,S023,181,0.01271153740272166,9.999996293336632e-08,0.0002999999560415745,False
as,w5,S023,182,0.028620574993828085,2.0000001899898097e-07,0.0004000000189989805,False
as,w5,S023,183,0.011541046022828369,1.3000004727393923e-07,0.0003000000724568963,False
as,w5,S023,184,0.019878522118799993,3.2000003039836956e-07,0.0004000000189989805,False
as,w5,S023,185,0.026534980055586858,9.999996293336632e-08,0.0002999999560415745,False
as,w5,S023,186,0.007399214315506469,4.0000003799796195e-08,0.00020000000949949026,False
as,w5,S023,187,0.05355296222555444,1.0000003278256273e-07,0.0003000000724568963,False
as,w5,S023,188,0.0038688364074514537,5.0000039674350227e-08,0.00020000006770715117,False
as,w5,S023,189,0.020998615668856017,1.6000001519918478e-07,0.0004000000189989805,False
as,w5,S023,190,0.024007402484053274,9.000000156462247e-07,0.0008999999845400453,False
as,w5,S023,191,0.0012274405404114077,8.999997362494662e-08,0.0002999999560415745,False
as,w5,S023,192,0.03973218193109097,1.9999992586673264e-07,0.0003999999025836587,False
as,w5,S023,193,0.010046869153439275,3.699998838082062e-07,0.000599999912083149,False
as,w5,S023,194,0.00635338912831503,9.999996293336632e-08,0.0002999999560415745,False
as,w5,S023,195,0.00990088885653222,5.299999921396427e-07,0.000699999975040555,False
as,w5,S023,196,0.0276550752101366,5.000000591389886e-07,0.0007000000332482159,False
as,w5,S023,197,0.001037097116750374,2.4999989569188307e-07,0.0003999999025836587,False
as,w5,S023,198,0.009451311106621233,5.800000085309207e-07,0.000699999975040555,False
as,w5,S023,199,0.019562108052858095,4.0000027082865054e-08,0.00020000006770715117,False
asbs,w5,S4,0,0.0034241195718568633,4.999999747378755e-08,0.00019999999494757503,False
asbs,w5,S4,1,0.029098329554297832,9.99999949475751e-09,9.999999747378752e-05,False
asbs,w5,S4,2,0.022251532446820873,1.4000000602332899e-07,0.0003000000142492354,False
asbs,w5,S4,3,0.0005691073598495677,0.0,0.0,False
asbs,w5,S4,4,0.004402645272064546,1.999999898951502e-08,9.999999747378752e-05,False
asbs,w5,S4,5,0.0041246818973877455,1.999999898951502e-08,9.999999747378752e-05,False
asbs,w5,S4,6,0.00426774036205461,1.999999898951502e-08,9.999999747378752e-05,False
asbs,w5,S4,7,0.010497315115906531,0.0,0.0,False
asbs,w5,S4,8,0.012528871776266897,3.999999797903004e-08,0.00019999999494757503,False
asbs,w5,S4,9,0.00704987154842047,4.999999747378755e-08,0.00019999999494757503,False
asbs,w5,S4,10,0.002768883093045588,4.999999747378755e-08,0.00019999999494757503,False
asbs,w5,S4,11,0.006659216687040953,4.999999747378755e-08,0.00019999999494757503,False
asbs,w5,S4,12,0.0012433352690663924,0.0,0.0,False
asbs,w5,S4,13,0.0027274303135855008,3.999999797903004e-08,0.00019999999494757503,False
asbs,w5,S4,14,0.0025019418487281656,9.99999949475751e-09,9.999999747378752e-05,False
asbs,w5,S4,15,0.0008562012811423756,0.0,0.0,False
asbs,w5,S4,16,0.0018073965671533188,1.999999898951502e-08,9.999999747378752e-05,False
asbs,w5,S4,17,0.0031618716560697065,9.99999949475751e-09,9.999999747378752e-05,False
asbs,w5,S4,18,0.0025720832873482777,9.99999949475751e-09,9.999999747378752e-05,False
asbs,w5,S4,19,0.016775565944831216,0.0,0.0,False
asbs,w5,S4,20,0.01047122802631111,0.0,0.0,False
asbs,w5,S4,21,0.014533799841990913,9.000000854954144e-08,0.0003000000142492354,False
asbs,w5,S4,22,0.00024078228316102467,9.99999949475751e-09,9.999999747378752e-05,False
asbs,w5,S4,23,0.01720735450705024,0.0,0.0,False
asbs,w5,S4,24,0.007442191849806477,3.999999797903004e-08,0.00019999999494757503,False
